SurveyID,Answer ID,Questiontype,Questions,Answers,Inputtype
184048,4664194,company_size,What was your organization size when working with G2 Marketing Solutions?,"501-1,000 employees",dropdown
184048,4664195,industry,What is your industry when using this product?,Education Management,dropdown
184048,4711119,hate,What do you dislike about G2 Marketing Solutions?,"Advocately is still a very early product - not a ton on reporting yet, but we're excited to see where they're headed",comment
184048,4711120,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,We wanted to find better ways to reach out to our NPS promoters and to get reviews on app marketplaces like Shopify and Xero.,comment
184054,4664440,hate,What do you dislike about G2 Marketing Solutions?,I really can't think of anything right now.,comment
184054,4664441,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"This has been a fantastic tool for our Customer Success team to get insights about our customers. It's very easy to setup and the team at Advocately (especially Patrick) have been completely hands-on with the implementation, which has been truly amazing for us. ",comment
184054,4664463,love,What do you like best about G2 Marketing Solutions?,"Being in Customer Success, it is extremely important to know how your customers feel about your product and service and getting constant feedback is absolutely necessary. With Advocately, we get an all-in-one platform that gives us the data we need to help us engage better with our clients.",comment
188630,4824591,current_user,Are you a current user of G2 Marketing Solutions?,Yes,dropdown
188630,4824594,love,What do you like best about G2 Marketing Solutions?,Advocately helps us to automate the process of reaching out to get reviews from customers that love our product. Another feature I like is the ability to explore which users are our net promoters. This is much potential to continuously refine our market segments using this tool.,comment
188630,4824595,hate,What do you dislike about G2 Marketing Solutions?,There isn't anything I dislike at the moment. The product solves one problem and solves it well. Having such focus is a breathe of fresh air from other products that try to do too many things but do them poorly.,comment
188638,4791872,love,What do you like best about G2 Marketing Solutions?,"Advocately has provided us on the best insights to run our NPS campaign and to generate the reviews that are essential for customer advocacy in the SaaS solutions industry. 

They identified what works best for us in terms of getting a favorable response rate from the NPS surveys and we really have moved forward from there.",comment
188638,4791903,hate,What do you dislike about G2 Marketing Solutions?,"Advocately ihas been working with us with a Tailor Made Approach to our NPS Campaign, and this is not something which is readily available.

Most NPS Products in the market are just products with limited advisory on best practices, organizations will need to invest time to find the best way to implement their campaigns successfully. 

What Advocately can bring in the future to their clients, are stellar examples of NPS campaigns execution.",comment
188638,4791904,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"We wanted to be able, in the first place,  to have a suitable medium to be able to encourage customers to provide us with their NPS scores and that was achieved.

Advocately has provided further set up automation to  reach out to our NPS Promoters, with the end goal to generate Customer Advocacy in terms of Reviews and Referrals",comment
190023,4825285,love,What do you like best about G2 Marketing Solutions?,"Advocate.ly is extremely easy to use. Patrick was very helpful in setting us up on the platform. The integration and set up was quick, templates were provided to get the best result. Everything is engineered for our success, i am very happy with the platform. ",comment
190023,4825288,industry,What is your industry when using this product?,Information Technology and Services,dropdown
190023,4825289,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"We get a lot of verbal reviews and written feedback, unfortunately there is very little which contributes to any platforms. We used advocate.ly to get those reviews contributing to NPS. ",comment
199474,5063755,love,What do you like best about G2 Marketing Solutions?,"As a Community Manager I am responsible for crafting and executing our advocate program. Perhaps the most challenging aspect of creating an advocate program is finding the advocates. Advocately has eliminated challenge. The advocates, through Advocately, came to me! Not only do I now have a growing list of advocates, but I am able to see exactly what they love about our software. This enables me to push feedback to the marketing, development, and customer success teams so that we can enhance what people love.

Aside from the actual product, Patrick and Lachlan are amazing. Support, response times, and personality are all 10/10. You guys rock!",comment
199474,5063781,hate,What do you dislike about G2 Marketing Solutions?,"There is nothing to dislike. As Advocately is relatively new, the features will continue to grow with the feedback of users. ",comment
199474,5063782,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"Getting good reviews isn't easy. It takes time, consideration, and often gets pushed aside by other projects. Advocately does the asking and consideration for us, so that it doesn't get pushed aside. 

Along with the massive help Advocately has provided me with our advocate marketing plan, it has also enhanced our SEO efforts. Many of the organic search results we obtained are fueled by customer reviews. Social proof is a HUGE influencer in our marketing efforts. 

Another extremely important aspect of Advocately is that we are able to identify our users who don't love the product. This gives us the opportunity to reach out to provide further support so that they can learn to love our software. As a company is it SO important to listen to what users experience and Advocately makes this so easy.",comment
199488,5064114,love,What do you like best about G2 Marketing Solutions?,"The support, and the experience the Advocately founders bring in having done exactly what Advocately promises for a SaaS business just like ours. The offering is spot on, and simply works. ",comment
199488,5064118,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"Convincing our most loyal customers to leave detailed 4/5 star reviews on the platforms that influence customer acquisition, at a volume that makes a real difference.",comment
199488,5064119,hate,What do you dislike about G2 Marketing Solutions?,"Nothing at all. It's all good, an outstanding offering.",comment
199954,5076286,love,What do you like best about G2 Marketing Solutions?,"I used to go through a lot of steps to get reviews. I was probably spending 5-6 hours a month to get reviews. There were so many manual steps and we would barely get any reviews out of it. It always felt worth it because our Brand and reputation is very important to us. Now, with Advocately, I just set up campaigns and they take care of the rest. We initially tested it out on 40 users and within that we produced 20 reviews!!!!! The same subset of users would probably would have produced 2 or 3 reviews within my old process. 

Also, the support has been amazing! Patrick has extremely helpful at setting us up and guiding us through the onboarding process. He has been very flexible in the hours he has helped and I've always very quickly got a response to questions. ",comment
199954,5076369,hate,What do you dislike about G2 Marketing Solutions?,"It's a newer product, so I feel like initially there's a bit more hand holding to get onboarded on the product. Saying that, the support was amazing and Patrick helped me get fully up and running very quickly. ",comment
199954,5076373,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"A lot of manual work to get a very small subset of reviews. I was spending too many hours a month to get a very small amount of reviews, but with Advocately I've been able to get way more out of less work. It's saved me so much time!",comment
201553,5116566,love,What do you like best about G2 Marketing Solutions?,Advocately is very easy to use and we’ve received outstanding support from their team. It helped us understand our customer’s requirements better. We were able to see results in just a few months! ,comment
201553,5116676,hate,What do you dislike about G2 Marketing Solutions?,Haven't had a bad experience so far.  :),comment
202787,5152352,love,What do you like best about G2 Marketing Solutions?,"At Saleswhale, we are new to NPS and getting customer reviews on G2 Crowd. At first, I was concerned that it was going to be hard to get all these up and running manually, but Advocately has made getting setup a breeze for us.

And within the first day of getting setup on Advocately, we ran our first NPS survey, got dozens of responses, which Advocately then automatically reached out to - and we got our first 5 star review on that day itself.

Support from Patrick has been top-notch, and he was very patient and helpful in walking us through the entire process from start to finish.",comment
202787,5152405,hate,What do you dislike about G2 Marketing Solutions?,"I was about to say lack of Slack integration until Patrick showed me that they have built it in, and got us integrated. They move fast on the product and engineering side - and I look forward to seeing more features from the Advocately team.",comment
202787,5152421,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"For a startup of our size, it would have required a lot of manual work to get to where we are now with Advocately, and we managed to get so much done within a short amount of time thanks to their platform.",comment
276255,7014235,love,What do you like best about G2 Marketing Solutions?,"Tells you what categories a company falls into, who they're competitors are, and what it's strengths/weaknesses are in the market place by way of customer reviews as well as their own analysis.",comment
276255,7014504,hate,What do you dislike about G2 Marketing Solutions?,What they consider 'Midmarket' seems too small to me. Think this could be changed or made more granular.,comment
276255,7014561,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,A way to quickly understand the different players in a space without doing a ton of research - which is very helpful and valuable to me as a Sales person.,comment
276255,7014739,meets_requirements,Meets Requirements,7.0,simple_7
277667,7047355,love,What do you like best about G2 Marketing Solutions?,"G2Crowd is a great resource in understanding comparative reviews when it comes to understanding customer satisfaction, competitor analysis and the benefits to using certain solutions.",comment
277667,7047446,hate,What do you dislike about G2 Marketing Solutions?,I can't say that I dislike anything in particular,comment
277667,7047530,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,Ensuring that our prospects have a clear understanding of who we are and the competitors in the same space,comment
277667,7047533,current_user,Are you a current user of G2 Marketing Solutions?,No,dropdown
277668,7047362,love,What do you like best about G2 Marketing Solutions?,"G2Crowd enables us to be able to show how well our product works, how customers view us and close more deals because of it.",comment
277668,7047418,hate,What do you dislike about G2 Marketing Solutions?,I have no complaints when it comes to using G2crowd.,comment
277668,7047419,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"It enables us to add validity into what we are doing, it works perfectly!",comment
277669,7047443,love,What do you like best about G2 Marketing Solutions?,"G2 crowd has allowed us to let our customers speak directly to our customers. As a sales person, I don't want to constantly be bogging down my customers with asking them to give a reference for prospects who aren't far into the sales funnel. G2 crowd allows me to provide referrals to prospects, without having to annoy my customers, before my prospects are fully qualified. I also love the full transparency required by G2, as my customers can trust that the information they are getting is trustworthy.",comment
277669,7047644,hate,What do you dislike about G2 Marketing Solutions?,"Sometimes it sucks when a customer leaves some negative information, but with that it allows us to understand what we need to work on in order to improve. ",comment
277669,7047645,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"Understanding where we need to improve on (whether that's user experience, customer service etc) for our customers and prospects to have a better experience with us. Also  allows me to give honest feedback and customer references to prospects",comment
277669,7047683,employment_position,At which organization did you most recently use G2 Marketing Solutions?,Bizible,employment_position
280373,7111103,love,What do you like best about G2 Marketing Solutions?,"The reviews, especially the fact they include 'what do you dislike' as well as 'what do you like'.  It gives a much more rounded picture.  The grids are useful, so too the ability to run grids based on user segment.  I also like the side-by-side comparisons.",comment
280373,7111147,hate,What do you dislike about G2 Marketing Solutions?,"I like the category grids but there are some where I question the validity of certain vendors to appear in them.  I have some questions around the market presence algorithm but can understand why it needs to remain secret.  Finally, I think some of the reports - especially around usability and ease of set-up - currently mitigate against larger vendors with more sophisticated solutions; these feel a little unfair.",comment
280373,7111208,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,Competitive intelligence.  G2 Crowd can help us win business.,comment
280373,7111211,employment_position,At which organization did you most recently use G2 Marketing Solutions?,FinancialForce.com,employment_position
288758,7283527,love,What do you like best about G2 Marketing Solutions?,"Easy to setup, Best Support and good pricing!  ",comment
288758,7283528,hate,What do you dislike about G2 Marketing Solutions?,Nothing as such. Started using this tool a month and feeling really good about the way it has brought in reviews. ,comment
288758,7283557,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,Reviews on various market places! Listings have improved and number of reviews have increased! ,comment
288758,7283560,employment_position,At which organization did you most recently use G2 Marketing Solutions?,Freshworks Inc. (formerly Freshdesk),employment_position
289187,7292002,love,What do you like best about G2 Marketing Solutions?,"G2Crowd's platform is a great way to drive advocacy from your customers. Asking clients to review your product is a sure way to know how they actually feel about you, and in return you're empowering sales with a easy way to reach our for references pre-sales.",comment
289187,7292189,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,G2 Crowd is an integral part to our internal advocacy program and allows us to measure how well we're doing in concerns to external references.,comment
289187,7292227,hate,What do you dislike about G2 Marketing Solutions?,I wish it was less of a burden for my customers to fill out a review.,comment
293991,7396864,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,Giving potential customers a source of third-party data they can review to learn more about our product. Building trust and gathering use cases. Discovering new potential buyers we can engage with.,comment
293991,7396880,employment_position,At which organization did you most recently use G2 Marketing Solutions?,HelpSystems,employment_position
293991,7396949,meets_requirements,Meets Requirements,6.0,simple_7
296992,7448898,love,What do you like best about G2 Marketing Solutions?,I like how easy it is to run reviews campaigns and leverage the tools in your listing to market you business. Have our listings on G2 Crowd has helped us tremendously in building trust and credibility with out prospects and close more business.,comment
296992,7448900,industry,What is your industry when using this product?,Human Resources,dropdown
296992,7448942,hate,What do you dislike about G2 Marketing Solutions?,I really can't think of anything I dislike about G2 Crowd. ,comment
296992,7448943,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"Again, the trust and credibility issues we were having in the past have diminished considerably. This has been a great investment for our business.",comment
296992,7448962,employment_position,At which organization did you most recently use G2 Marketing Solutions?,APS,employment_position
297223,7454542,love,What do you like best about G2 Marketing Solutions?,Gina Carr goes the extra mile . She is a huge help and a pleasure to work with. There is a real commitment on her part to help her clients succeed,comment
297223,7454544,industry,What is your industry when using this product?,Marketing and Advertising,dropdown
297223,7454569,hate,What do you dislike about G2 Marketing Solutions?, It takes a lot of work to get your product profile set up on the site. There is a lot of information to complete and it can be a bit confusing. ,comment
297223,7454612,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,It is a site that prospects can go to for unbiased reviews and it provides prospects with lots of valuable product information in a single location. I have just started with G2 Crowd and as yet have not realized any benefits but I am confident that I will see good quality leads over the second half of this year. ,comment
297223,7454739,product_role,What is your primary role when using G2 Marketing Solutions?,Internal Consultant,dropdown
297223,7454740,business_partner,Are you affiliated with the product you are reviewing or the company that makes it?,Yes,dropdown
297239,7454884,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,5.0,slider_nps
297239,7454886,love,What do you like best about G2 Marketing Solutions?,We've received decent service pretty consistently. The online platform is easy enough to work through. Leads are just okay.,comment
297239,7454904,hate,What do you dislike about G2 Marketing Solutions?,The LinkedIn log in is pretty hard to work with.,comment
297239,7454905,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"We are attempting to bring in more leads from G2 Crowd, but unfortunately we are not seeing the volume we would have expected.",comment
297426,8417727,love,What do you like best about G2 Marketing Solutions?,"Overall, I am very happy with G2 Crowd. We are able to drive high quality leads to our sales team. Our reps are also great, fast to respond and always helpful.",comment
297426,8417758,hate,What do you dislike about G2 Marketing Solutions?,The only drawback I currently have would be the low volume. I am working with the reps to find a solution to help us increase our volume. ,comment
297426,8417759,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"The problem that we are solving is being able to find high quality, in-market leads. G2 Crowd is one of our highest lead to opportunity channels in the marketing mix. ",comment
297426,8417836,employment_position,At which organization did you most recently use G2 Marketing Solutions?,Workfront,employment_position
300311,7513083,love,What do you like best about G2 Marketing Solutions?,G2 Crowd's team is amazing to work with! They are always very responsive and are always proactively reaching out to make sure we get the best results of the programs we are running. You can't get a better CSM than Andrew Ledet! ,comment
300311,7513804,hate,What do you dislike about G2 Marketing Solutions?,The only thing I can think of for improvement is there is still a lot of reliability on AdRoll for activating retargeting programs. ,comment
300311,7513805,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"We are leveraging the Act-On review page, industry benchmarking reports and retargeting. ",comment
300311,7513808,employment_position,At which organization did you most recently use G2 Marketing Solutions?,"Act-On Software, Inc.",employment_position
300948,7526998,love,What do you like best about G2 Marketing Solutions?,G2Crowd has invested heavily in advertising their brand versus the other review sites.  As a result they have a much bigger quantity of reviews.  So it has traction now and people trust it to create a shortlist and to determine what others think.,comment
300948,7526999,hate,What do you dislike about G2 Marketing Solutions?,G2Crowd rank not given enough prominence. Don't like paid for reviews (think this should be charity donation only) as encourages people to make up reviews.  I think there should be some way of seeing the balance of reviews from particular companies (at the moment you could have 100 reviews from a single customer which could skew review count).,comment
300948,7527049,employment_position,At which organization did you most recently use G2 Marketing Solutions?,Kimble Applications,employment_position
300976,7527703,love,What do you like best about G2 Marketing Solutions?,"G2 Crowd provides a very impartial and fully verified technology software review forum. The technology sections are well defined and nicely summarized.  Overall, it's very professional and you can actually count on the review provided since they can't be manipulated by the vendors.   Really like the way that we can embed the review widgets on our own website with links to our optimized landing page.  The environment provides a great user experience for visitors to our website and illustrates how open we are to input from our customers. The style of review presentation is also very easy for visitors to consume. It's similar to consumer based review sites, but with much higher data quality.  We count on the fact that prospects reading our reviews can trust the customer input.",comment
300976,7527704,categories,For which purposes do you use G2 Marketing Solutions?,"['Technology Review Platforms', 'Buyer Intent Data Providers']",categories
300976,7527860,hate,What do you dislike about G2 Marketing Solutions?,"Difficult to say what I dislike, but if I had to choose I would say that sometimes the technology categories are too general. This can result sometimes in very different, non-competitive products in the same category.  This makes products hard to compare at times.",comment
300976,7527895,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"Vendor provided case studies are great, but we wanted reviews and comments that were impartial to assist with speeding the sales decision making process for prospects.  Our sales team often share our G2 Crowd page to demonstrate how open and proud we are of our software and service. ",comment
300976,7527922,employment_position,At which organization did you most recently use G2 Marketing Solutions?,RealVNC,employment_position
302708,7570610,service_location,Where were you located when you worked with G2 Marketing Solutions?,United States,dropdown
302708,7570611,employment_position,At which organization did you most recently use G2 Marketing Solutions?,"Certify, Inc.",employment_position
302708,7570911,service_task_overview,Describe the project or task G2 Marketing Solutions helped with:,"We have been working with G2 Crowd since 2014 when they first released their quadrant for expense management providers. Our original intent for working with G2 Crowd was to provide an unbiased set of competitive data in a report that we could share with our prospects during the buying cycle. Now nearly four years later, we have grown our spend with G2 Crowd by 300%+, sponsor 3-4 reports a year, sponsor banner ads and manage a lead generation effort through this channel. G2 Crowd has proven to be a successful method for generating quality leads and delivering an ROI, year after year. ",comment
302708,7590473,love,What do you like best about G2 Marketing Solutions?,"I really enjoy working with G2 Crowd for a few reasons, one of them being their customer support. The team at G2 Crowd has worked hand in hand with Certify to create custom content to better suit our needs and help position Certify stronger in the selling process. 

From a technology standpoint, I really value the competitive analysis aspect of G2 Crowd. The fact that a prospect can search and compare over 1,000 reviews on expense management in minutes and rank the top performing vendors is really invaluable. Having this Yelp-like review process for business software has allowed us to showcase our strengths against competitors and replace the traditional client referral process. ",comment
305790,7645032,love,What do you like best about G2 Marketing Solutions?,"I originally signed up with G2 Crowd to generate awareness of our solution as they had the most product/ competitor reviews for our industry (PR tools and media targeting) and had a robust process to help you generate reviews for products. But I was blown away, when on top of awareness and SEO magic, G2 Crowd has also become a key source of sales leads for us. ",comment
305790,7645081,hate,What do you dislike about G2 Marketing Solutions?,Setting up the product profiles is a bit cumbersome and I wish we could have a corporate page with individual products listed so people could see our entire portfolio. ,comment
305790,7645118,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"Originally, I planned to use G2 Crowd to help raise awareness of our product and put us on the radar for people looking at PR tools. The Grid and comparisons are really helpful assets for our sellers to provide third party validation of our great support and product. The most valuable benefit has turned out to be the sales leads it generates - we now get quality leads every week that our sales team LOVES to follow up on. ",comment
305790,7645179,employment_position,At which organization did you most recently use G2 Marketing Solutions?,Agility PR Solutions,employment_position
307360,8408930,love,What do you like best about G2 Marketing Solutions?,"The configuration and on-boarding process for a vendor is very straightforward, intuitive and yet comprehensive. I also like the experience provided by G2Crowd to users researching products. It is fluid and informational. ",comment
307360,8408931,hate,What do you dislike about G2 Marketing Solutions?,"Nothing.  G2Crowd is a great company, they just need to extend their SEO penetration (at least in my category) to better generate organic leads.",comment
307360,8408953,employment_position,At which organization did you most recently use G2 Marketing Solutions?,"Goverlan, Inc.",employment_position
307360,8408981,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"We needed to greater our brand awareness. 

We have a great product and we were not seen. G2Crowd has given us the opportunity to display our worth by letting our customers speak for us. We are now listed side by side with our competition with a legitimate position. ",comment
309559,7726525,love,What do you like best about G2 Marketing Solutions?,"I like the clean look and feel of the website. They also have instant chat which is nice if you have a question that you need answered really quickly. The CSM I have is knowledgeable, responsive and helpful.",comment
309559,7726530,hate,What do you dislike about G2 Marketing Solutions?,"I wish the average/total score would be updated more frequently. It looks like I have gotten a lot of 4.5 and mostly 5 star ratings, but it hasn't moved in like 9 months or so. It used to move more frequently at the beginning when we first drove traffic to the site, when I first started.",comment
309559,7726538,employment_position,At which organization did you most recently use G2 Marketing Solutions?,Mavenlink,employment_position
320249,7980878,love,What do you like best about G2 Marketing Solutions?,"I've appreciated the opportunity to get honest reviews from our customers. It's opened up the opportunity to hear their feedback and also showcase our value to prospects. 

Additionally, I've loved the customer support I've gotten from Mark! He's always been incredibly helpful, friendly, honors his commitments, and holds me accountable for getting our campaign done!",comment
320249,7980957,hate,What do you dislike about G2 Marketing Solutions?,"Honestly, I haven't really found anything.",comment
320249,7980958,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"Ability to get honest reviews from our customers, while also showcasing the value they've found to our prospects. ",comment
320249,7980961,employment_position,At which organization did you most recently use G2 Marketing Solutions?,ReviewTrackers,employment_position
329787,8208918,love,What do you like best about G2 Marketing Solutions?,We are in a competitive marketplace and we rely on G2 Crowd to help us stand out from our competitors.  ,comment
329787,8237781,hate,What do you dislike about G2 Marketing Solutions?,"We don't see a lot of people actually request a demo from our G2 profile page, but that is not unexpected.  ",comment
329787,8237782,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,We value an unbiased ranking of our software.  We will refer prospective customers to view our ratings on G2 Crowd to validate their decision making.  ,comment
333833,8308814,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,7.0,slider_nps
