Survey Response ID,Answer ID,Question Type,Question Text,Answer Value,Input Type
67896,1920246,quality_of_content,Quality of Content,6.0,simple_7
177131,4482731,title,Title for your review:,Credibility,text_field
177131,4482732,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,9.0,slider_nps
177131,4482733,love,What do you like best about G2 Marketing Solutions?,"Great way to build our brand in a new space, by leveraging user success. Also, Alex Pike did a great job of helping us understand the value of the platform when we first started.",comment
177131,4482734,categories,For which purposes do you use G2 Marketing Solutions?,['Buyer Intent Data Providers'],categories
177131,4482735,company_size,What was your organization size when working with G2 Marketing Solutions?,2-10 employees,dropdown
177131,4482736,industry,What is your industry when using this product?,Computer Software,dropdown
177131,4482793,hate,What do you dislike about G2 Marketing Solutions?,"So far so good, we are just starting to use additional features like the LinkedIn integration so can't evaluate that yet",comment
177131,4482794,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,Building our brand and business through more exposure and inbound leads.,comment
177131,4482795,experience,What is your level of experience with G2 Marketing Solutions?,Ongoing client relationship,dropdown
177131,4482796,firm_role,What is your primary role when working with this service provider?,Executive Sponsor,dropdown
179859,4553498,title,Title for your review:,Advocately have been instrumental to our review strategy,text_field
179859,4553499,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,10.0,slider_nps
179859,4553500,love,What do you like best about G2 Marketing Solutions?,The end to end service and process has been the highlight to my experience. Advocately has ensured our success by assisting us with implementing our review campaigns. They've consistently optimised our process to achieve our goals.,comment
179859,4553501,categories,For which purposes do you use G2 Marketing Solutions?,['Online Reputation Management'],categories
179859,4553502,company_size,What was your organization size when working with G2 Marketing Solutions?,51-200 employees,dropdown
179859,4553503,industry,What is your industry when using this product?,Information Services,dropdown
179859,4553504,hate,What do you dislike about G2 Marketing Solutions?,There is little that I dislike. Understanding exactly what each of the features means and the flow between them has been my only slight hindrance. ,comment
179859,4553505,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,We've been able to effectively scale our review processes by encouraging our promoters to share their experience on various review websites. Previously this was a very manual exercise to connect and remind our promoters that we'd love their support. Now with Adovately we can politely reach out and explain how they could really help with our growth success by leaving a review of their experience.,comment
179859,4553506,product_role,What is your primary role when using G2 Marketing Solutions?,Executive Sponsor,dropdown
179859,4553507,business_partner,Are you affiliated with the product you are reviewing or the company that makes it?,No,dropdown
179888,4554165,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,10.0,slider_nps
179888,4554166,categories,For which purposes do you use G2 Marketing Solutions?,['Online Reputation Management'],categories
179888,4554167,company_size,What was your organization size when working with G2 Marketing Solutions?,2-10 employees,dropdown
179888,4554168,industry,What is your industry when using this product?,Internet,dropdown
179888,4554169,product_role,What is your primary role when using G2 Marketing Solutions?,Administrator,dropdown
179888,4554170,title,Title for your review:,Game Changer,text_field
179888,4554172,business_partner,Are you affiliated with the product you are reviewing or the company that makes it?,No,dropdown
179888,4554182,love,What do you like best about G2 Marketing Solutions?,"Advocately facilitates a continuous flow of great reviews of your product or service on the top review sites across the web. We have had excellent service and it is clear that Advocately is committed to getting the best results for their clients. They have a vision for this space that I have not seen before, and it is a welcome innovation. ",comment
179888,4554220,hate,What do you dislike about G2 Marketing Solutions?,"This is not a true dislike, but the success of Advocately for us depends on at least one other integrated service, which we fortunately already had in place.",comment
179888,4554221,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"We are finally recognizing the value of having advocates for our product who thankfully already existed, but were not given the opportunity to act as advocates. Having this process be automated saves a significant amount of time vs. any alternative. It is also much more cost efficient than running separate campaigns with each individual review site.",comment
182325,4617301,title,Title for your review:,Effortless review fetching,text_field
182325,4617302,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,10.0,slider_nps
182325,4617303,categories,For which purposes do you use G2 Marketing Solutions?,['Online Reputation Management'],categories
182325,4617304,company_size,What was your organization size when working with G2 Marketing Solutions?,11-50 employees,dropdown
182325,4617305,industry,What is your industry when using this product?,Accounting,dropdown
182325,4617306,product_role,What is your primary role when using G2 Marketing Solutions?,Administrator,dropdown
182325,4617307,business_partner,Are you affiliated with the product you are reviewing or the company that makes it?,No,dropdown
182325,4617394,love,What do you like best about G2 Marketing Solutions?,It works exactly as intended. Promoters get pro-active outreach for review requests in a way that is not over-the-top. The team at advocately have made themselves available at every step in the onboarding journey as well. Great service,comment
182325,4617395,hate,What do you dislike about G2 Marketing Solutions?,"Not much at this point, we just need to figure out how best to integrate it into our other systems, particularly for our Customer Success team to follow up on the passive and detractor comments. No doubt I'll get the help I'm looking for.",comment
182325,4617417,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"We went looking for a way to garner more reviews as they were severely lacking. We had cobbled together a fairly clunky and manual process and were going to roll it out. However, as soon as we found out about advocately, it all made sense. It's a well thought through workflow and it's very unobtrusive for our clients. ",comment
182489,4940492,title,Title for your review:,Great idea and good time saver,text_field
182489,4940493,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,10.0,slider_nps
182489,4940494,love,What do you like best about G2 Marketing Solutions?,We were previously using engagement as a criteria for requesting a review (which we were doing manually). The blend of using NPS along with the automation Advocately provides means we are getting a higher volume of higher quality reviews for less work.,comment
182489,4940495,categories,For which purposes do you use G2 Marketing Solutions?,['Online Reputation Management'],categories
182489,4940496,company_size,What was your organization size when working with G2 Marketing Solutions?,11-50 employees,dropdown
182489,4940497,industry,What is your industry when using this product?,Internet,dropdown
182489,4940523,hate,What do you dislike about G2 Marketing Solutions?,Very little. The product is currently quite feature-light but the future is bright and loads of potential.,comment
182489,4940524,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,Building an advocacy programme is hard. Advocately has had an immediate impact at a reasonable price point.,comment
182489,4940543,product_role,What is your primary role when using G2 Marketing Solutions?,Executive Sponsor,dropdown
182489,4940544,business_partner,Are you affiliated with the product you are reviewing or the company that makes it?,No,dropdown
183103,4637614,title,Title for your review:,"Automate your reviews, saves you tons of time, highly recommend!",text_field
183103,4637615,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,10.0,slider_nps
183103,4637616,love,What do you like best about G2 Marketing Solutions?,"Getting reviews is an integral part of any (online) business these days but the process can be very time consuming and hard. With Advocately the entire process is automated which is a huge work load lifted. After the initial setup you just let the system do the work for you, the support is great and the product works like a charm. I can highly recommend Advocately to anyone who relies on reviews! ",comment
183103,4637617,categories,For which purposes do you use G2 Marketing Solutions?,['Online Reputation Management'],categories
183103,4637618,company_size,What was your organization size when working with G2 Marketing Solutions?,11-50 employees,dropdown
183103,4637619,industry,What is your industry when using this product?,Accounting,dropdown
183103,4637620,hate,What do you dislike about G2 Marketing Solutions?,"Hard to come up with anything I dislike, if pressed I would say that it would be good to have a simple explainer video of 1 minute which would quickly show the value and functionality - in the beginning it is a bit hard to understand exactly what Advocately does :-) ",comment
183103,4637624,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"Reviews are not just good for your online reputation but offer other benefits, like showing star ratings in your AdWords ads, as well. Getting these reviews is a part of any good digital marketing strategy but usually is very hard to get rolling, Advocately takes care of this process for you and saves you tons of time and effort. ",comment
183103,4637627,product_role,What is your primary role when using G2 Marketing Solutions?,User,dropdown
183103,4637628,business_partner,Are you affiliated with the product you are reviewing or the company that makes it?,No,dropdown
183130,4638372,title,Title for your review:,I am an advocate for Advocately!,text_field
183130,4638373,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,10.0,slider_nps
183130,4638374,categories,For which purposes do you use G2 Marketing Solutions?,['Online Reputation Management'],categories
183130,4638375,company_size,What was your organization size when working with G2 Marketing Solutions?,51-200 employees,dropdown
183130,4638376,industry,What is your industry when using this product?,Logistics and Supply Chain,dropdown
183130,4638405,product_role,What is your primary role when using G2 Marketing Solutions?,Executive Sponsor,dropdown
183130,4638406,business_partner,Are you affiliated with the product you are reviewing or the company that makes it?,No,dropdown
183130,4840337,love,What do you like best about G2 Marketing Solutions?,We are getting our promoters to write reviews online and refer their friends at an extremely high rate!  We can link the results from this back to revenue.,comment
183130,4840338,hate,What do you dislike about G2 Marketing Solutions?,Nothing right now.  I'm excited to see how the Advocately platform develops.,comment
183130,4840339,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,Our customers leave us awesome reviews and refer their friends.,comment
184048,4664190,title,Title for your review:,NPS and more!,text_field
184048,4664191,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,9.0,slider_nps
184048,4664192,love,What do you like best about G2 Marketing Solutions?,Advocately helped us reach out to our top promoters and helped build out our reviews across our different platforms.,comment
184048,4664193,categories,For which purposes do you use G2 Marketing Solutions?,['Online Reputation Management'],categories
184048,4664194,company_size,What was your organization size when working with G2 Marketing Solutions?,"501-1,000 employees",dropdown
184048,4664195,industry,What is your industry when using this product?,Education Management,dropdown
184048,4711119,hate,What do you dislike about G2 Marketing Solutions?,"Advocately is still a very early product - not a ton on reporting yet, but we're excited to see where they're headed",comment
184048,4711120,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,We wanted to find better ways to reach out to our NPS promoters and to get reviews on app marketplaces like Shopify and Xero.,comment
184048,4711121,product_role,What is your primary role when using G2 Marketing Solutions?,User,dropdown
184048,4711122,business_partner,Are you affiliated with the product you are reviewing or the company that makes it?,No,dropdown
184054,4664413,title,Title for your review:,Empowering our reviews and ,text_field
184054,4664414,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,10.0,slider_nps
184054,4664415,categories,For which purposes do you use G2 Marketing Solutions?,['Online Reputation Management'],categories
184054,4664416,company_size,What was your organization size when working with G2 Marketing Solutions?,11-50 employees,dropdown
184054,4664417,industry,What is your industry when using this product?,Computer Software,dropdown
184054,4664440,hate,What do you dislike about G2 Marketing Solutions?,I really can't think of anything right now.,comment
184054,4664441,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"This has been a fantastic tool for our Customer Success team to get insights about our customers. It's very easy to setup and the team at Advocately (especially Patrick) have been completely hands-on with the implementation, which has been truly amazing for us. ",comment
184054,4664457,product_role,What is your primary role when using G2 Marketing Solutions?,Administrator,dropdown
184054,4664458,business_partner,Are you affiliated with the product you are reviewing or the company that makes it?,No,dropdown
184054,4664463,love,What do you like best about G2 Marketing Solutions?,"Being in Customer Success, it is extremely important to know how your customers feel about your product and service and getting constant feedback is absolutely necessary. With Advocately, we get an all-in-one platform that gives us the data we need to help us engage better with our clients.",comment
188630,4824585,title,Title for your review:,A great tie in with net promoters,text_field
188630,4824586,categories,For which purposes do you use G2 Marketing Solutions?,['Online Reputation Management'],categories
188630,4824587,company_size,What was your organization size when working with G2 Marketing Solutions?,51-200 employees,dropdown
188630,4824588,industry,What is your industry when using this product?,Logistics and Supply Chain,dropdown
188630,4824589,product_role,What is your primary role when using G2 Marketing Solutions?,User,dropdown
188630,4824590,business_partner,Are you affiliated with the product you are reviewing or the company that makes it?,No,dropdown
188630,4824591,current_user,Are you a current user of G2 Marketing Solutions?,Yes,dropdown
188630,4824593,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,10.0,slider_nps
188630,4824594,love,What do you like best about G2 Marketing Solutions?,Advocately helps us to automate the process of reaching out to get reviews from customers that love our product. Another feature I like is the ability to explore which users are our net promoters. This is much potential to continuously refine our market segments using this tool.,comment
188630,4824595,hate,What do you dislike about G2 Marketing Solutions?,There isn't anything I dislike at the moment. The product solves one problem and solves it well. Having such focus is a breathe of fresh air from other products that try to do too many things but do them poorly.,comment
188638,4791871,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,10.0,slider_nps
188638,4791872,love,What do you like best about G2 Marketing Solutions?,"Advocately has provided us on the best insights to run our NPS campaign and to generate the reviews that are essential for customer advocacy in the SaaS solutions industry. 

They identified what works best for us in terms of getting a favorable response rate from the NPS surveys and we really have moved forward from there.",comment
188638,4791873,categories,For which purposes do you use G2 Marketing Solutions?,['Online Reputation Management'],categories
188638,4791874,company_size,What was your organization size when working with G2 Marketing Solutions?,51-200 employees,dropdown
188638,4791875,industry,What is your industry when using this product?,Logistics and Supply Chain,dropdown
188638,4791903,hate,What do you dislike about G2 Marketing Solutions?,"Advocately ihas been working with us with a Tailor Made Approach to our NPS Campaign, and this is not something which is readily available.

Most NPS Products in the market are just products with limited advisory on best practices, organizations will need to invest time to find the best way to implement their campaigns successfully. 

What Advocately can bring in the future to their clients, are stellar examples of NPS campaigns execution.",comment
188638,4791904,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"We wanted to be able, in the first place,  to have a suitable medium to be able to encourage customers to provide us with their NPS scores and that was achieved.

Advocately has provided further set up automation to  reach out to our NPS Promoters, with the end goal to generate Customer Advocacy in terms of Reviews and Referrals",comment
188638,4791976,product_role,What is your primary role when using G2 Marketing Solutions?,User,dropdown
188638,4791977,business_partner,Are you affiliated with the product you are reviewing or the company that makes it?,No,dropdown
188638,4791978,current_user,Are you a current user of G2 Marketing Solutions?,Yes,dropdown
190023,4825283,title,Title for your review:,"Awesome product, easy to use, great service and an amazing idea! ",text_field
190023,4825284,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,10.0,slider_nps
190023,4825285,love,What do you like best about G2 Marketing Solutions?,"Advocate.ly is extremely easy to use. Patrick was very helpful in setting us up on the platform. The integration and set up was quick, templates were provided to get the best result. Everything is engineered for our success, i am very happy with the platform. ",comment
190023,4825286,categories,For which purposes do you use G2 Marketing Solutions?,['Online Reputation Management'],categories
190023,4825287,company_size,What was your organization size when working with G2 Marketing Solutions?,51-200 employees,dropdown
190023,4825288,industry,What is your industry when using this product?,Information Technology and Services,dropdown
190023,4825289,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"We get a lot of verbal reviews and written feedback, unfortunately there is very little which contributes to any platforms. We used advocate.ly to get those reviews contributing to NPS. ",comment
190023,4825290,product_role,What is your primary role when using G2 Marketing Solutions?,User,dropdown
190023,4825291,business_partner,Are you affiliated with the product you are reviewing or the company that makes it?,No,dropdown
190023,4825292,current_user,Are you a current user of G2 Marketing Solutions?,Yes,dropdown
199474,5063753,title,Title for your review:,Advocately has made creating an advocate marketing program a breeze.,text_field
199474,5063754,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,10.0,slider_nps
199474,5063755,love,What do you like best about G2 Marketing Solutions?,"As a Community Manager I am responsible for crafting and executing our advocate program. Perhaps the most challenging aspect of creating an advocate program is finding the advocates. Advocately has eliminated challenge. The advocates, through Advocately, came to me! Not only do I now have a growing list of advocates, but I am able to see exactly what they love about our software. This enables me to push feedback to the marketing, development, and customer success teams so that we can enhance what people love.

Aside from the actual product, Patrick and Lachlan are amazing. Support, response times, and personality are all 10/10. You guys rock!",comment
199474,5063756,categories,For which purposes do you use G2 Marketing Solutions?,['Online Reputation Management'],categories
199474,5063757,company_size,What was your organization size when working with G2 Marketing Solutions?,11-50 employees,dropdown
199474,5063758,industry,What is your industry when using this product?,Accounting,dropdown
199474,5063781,hate,What do you dislike about G2 Marketing Solutions?,"There is nothing to dislike. As Advocately is relatively new, the features will continue to grow with the feedback of users. ",comment
199474,5063782,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"Getting good reviews isn't easy. It takes time, consideration, and often gets pushed aside by other projects. Advocately does the asking and consideration for us, so that it doesn't get pushed aside. 

Along with the massive help Advocately has provided me with our advocate marketing plan, it has also enhanced our SEO efforts. Many of the organic search results we obtained are fueled by customer reviews. Social proof is a HUGE influencer in our marketing efforts. 

Another extremely important aspect of Advocately is that we are able to identify our users who don't love the product. This gives us the opportunity to reach out to provide further support so that they can learn to love our software. As a company is it SO important to listen to what users experience and Advocately makes this so easy.",comment
199474,5063790,product_role,What is your primary role when using G2 Marketing Solutions?,User,dropdown
199474,5063791,business_partner,Are you affiliated with the product you are reviewing or the company that makes it?,No,dropdown
199488,5064112,title,Title for your review:,Advocately has driven amazing results for our business,text_field
199488,5064113,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,10.0,slider_nps
199488,5064114,love,What do you like best about G2 Marketing Solutions?,"The support, and the experience the Advocately founders bring in having done exactly what Advocately promises for a SaaS business just like ours. The offering is spot on, and simply works. ",comment
199488,5064115,categories,For which purposes do you use G2 Marketing Solutions?,['Online Reputation Management'],categories
199488,5064116,company_size,What was your organization size when working with G2 Marketing Solutions?,51-200 employees,dropdown
199488,5064117,industry,What is your industry when using this product?,Computer Software,dropdown
199488,5064118,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"Convincing our most loyal customers to leave detailed 4/5 star reviews on the platforms that influence customer acquisition, at a volume that makes a real difference.",comment
199488,5064119,hate,What do you dislike about G2 Marketing Solutions?,"Nothing at all. It's all good, an outstanding offering.",comment
199488,5064120,product_role,What is your primary role when using G2 Marketing Solutions?,Administrator,dropdown
199488,5064121,business_partner,Are you affiliated with the product you are reviewing or the company that makes it?,No,dropdown
199954,5076285,title,Title for your review:,Advocately has changed how we take reviews!,text_field
199954,5076286,love,What do you like best about G2 Marketing Solutions?,"I used to go through a lot of steps to get reviews. I was probably spending 5-6 hours a month to get reviews. There were so many manual steps and we would barely get any reviews out of it. It always felt worth it because our Brand and reputation is very important to us. Now, with Advocately, I just set up campaigns and they take care of the rest. We initially tested it out on 40 users and within that we produced 20 reviews!!!!! The same subset of users would probably would have produced 2 or 3 reviews within my old process. 

Also, the support has been amazing! Patrick has extremely helpful at setting us up and guiding us through the onboarding process. He has been very flexible in the hours he has helped and I've always very quickly got a response to questions. ",comment
199954,5076287,categories,For which purposes do you use G2 Marketing Solutions?,['Online Reputation Management'],categories
199954,5076288,company_size,What was your organization size when working with G2 Marketing Solutions?,51-200 employees,dropdown
199954,5076289,industry,What is your industry when using this product?,Computer Software,dropdown
199954,5076315,product_role,What is your primary role when using G2 Marketing Solutions?,Administrator,dropdown
199954,5076316,business_partner,Are you affiliated with the product you are reviewing or the company that makes it?,No,dropdown
199954,5076317,current_user,Are you a current user of G2 Marketing Solutions?,Yes,dropdown
199954,5076369,hate,What do you dislike about G2 Marketing Solutions?,"It's a newer product, so I feel like initially there's a bit more hand holding to get onboarded on the product. Saying that, the support was amazing and Patrick helped me get fully up and running very quickly. ",comment
199954,5076373,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"A lot of manual work to get a very small subset of reviews. I was spending too many hours a month to get a very small amount of reviews, but with Advocately I've been able to get way more out of less work. It's saved me so much time!",comment
201553,5116564,title,Title for your review:,Love the product!,text_field
201553,5116565,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,10.0,slider_nps
201553,5116566,love,What do you like best about G2 Marketing Solutions?,Advocately is very easy to use and we’ve received outstanding support from their team. It helped us understand our customer’s requirements better. We were able to see results in just a few months! ,comment
201553,5116567,categories,For which purposes do you use G2 Marketing Solutions?,['Online Reputation Management'],categories
201553,5116568,company_size,What was your organization size when working with G2 Marketing Solutions?,11-50 employees,dropdown
201553,5116569,industry,What is your industry when using this product?,Computer Software,dropdown
201553,5116650,product_role,What is your primary role when using G2 Marketing Solutions?,User,dropdown
201553,5116651,business_partner,Are you affiliated with the product you are reviewing or the company that makes it?,No,dropdown
201553,5116652,current_user,Are you a current user of G2 Marketing Solutions?,Yes,dropdown
201553,5116676,hate,What do you dislike about G2 Marketing Solutions?,Haven't had a bad experience so far.  :),comment
202787,5152350,title,Title for your review:,New to advocate marketing but am now a believer,text_field
202787,5152351,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,10.0,slider_nps
202787,5152352,love,What do you like best about G2 Marketing Solutions?,"At Saleswhale, we are new to NPS and getting customer reviews on G2 Crowd. At first, I was concerned that it was going to be hard to get all these up and running manually, but Advocately has made getting setup a breeze for us.

And within the first day of getting setup on Advocately, we ran our first NPS survey, got dozens of responses, which Advocately then automatically reached out to - and we got our first 5 star review on that day itself.

Support from Patrick has been top-notch, and he was very patient and helpful in walking us through the entire process from start to finish.",comment
202787,5152353,categories,For which purposes do you use G2 Marketing Solutions?,['Online Reputation Management'],categories
202787,5152354,company_size,What was your organization size when working with G2 Marketing Solutions?,2-10 employees,dropdown
202787,5152355,industry,What is your industry when using this product?,Internet,dropdown
202787,5152405,hate,What do you dislike about G2 Marketing Solutions?,"I was about to say lack of Slack integration until Patrick showed me that they have built it in, and got us integrated. They move fast on the product and engineering side - and I look forward to seeing more features from the Advocately team.",comment
202787,5152421,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"For a startup of our size, it would have required a lot of manual work to get to where we are now with Advocately, and we managed to get so much done within a short amount of time thanks to their platform.",comment
202787,5152437,product_role,What is your primary role when using G2 Marketing Solutions?,User,dropdown
202787,5152438,business_partner,Are you affiliated with the product you are reviewing or the company that makes it?,No,dropdown
276255,7014234,title,Title for your review:,Valuable Resource for Sales,text_field
276255,7014235,love,What do you like best about G2 Marketing Solutions?,"Tells you what categories a company falls into, who they're competitors are, and what it's strengths/weaknesses are in the market place by way of customer reviews as well as their own analysis.",comment
276255,7014236,categories,For which purposes do you use G2 Marketing Solutions?,['Buyer Intent Data Providers'],categories
276255,7014237,industry,What is your industry when using this product?,Information Services,dropdown
276255,7014504,hate,What do you dislike about G2 Marketing Solutions?,What they consider 'Midmarket' seems too small to me. Think this could be changed or made more granular.,comment
276255,7014561,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,A way to quickly understand the different players in a space without doing a ton of research - which is very helpful and valuable to me as a Sales person.,comment
276255,7014633,product_role,What is your primary role when using G2 Marketing Solutions?,User,dropdown
276255,7014634,business_partner,Are you affiliated with the product you are reviewing or the company that makes it?,No,dropdown
276255,7014738,current_user,Are you a current user of G2 Marketing Solutions?,Yes,dropdown
276255,7014739,meets_requirements,Meets Requirements,7.0,simple_7
277667,7047353,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,10.0,slider_nps
277667,7047354,title,Title for your review:,G2Crowd knows what's good,text_field
277667,7047355,love,What do you like best about G2 Marketing Solutions?,"G2Crowd is a great resource in understanding comparative reviews when it comes to understanding customer satisfaction, competitor analysis and the benefits to using certain solutions.",comment
277667,7047356,categories,For which purposes do you use G2 Marketing Solutions?,['Buyer Intent Data Providers'],categories
277667,7047357,industry,What is your industry when using this product?,Internet,dropdown
277667,7047446,hate,What do you dislike about G2 Marketing Solutions?,I can't say that I dislike anything in particular,comment
277667,7047530,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,Ensuring that our prospects have a clear understanding of who we are and the competitors in the same space,comment
277667,7047531,product_role,What is your primary role when using G2 Marketing Solutions?,User,dropdown
277667,7047532,business_partner,Are you affiliated with the product you are reviewing or the company that makes it?,No,dropdown
277667,7047533,current_user,Are you a current user of G2 Marketing Solutions?,No,dropdown
277668,7047360,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,10.0,slider_nps
277668,7047361,title,Title for your review:,I love G2Crowd,text_field
277668,7047362,love,What do you like best about G2 Marketing Solutions?,"G2Crowd enables us to be able to show how well our product works, how customers view us and close more deals because of it.",comment
277668,7047363,categories,For which purposes do you use G2 Marketing Solutions?,['Buyer Intent Data Providers'],categories
277668,7047364,industry,What is your industry when using this product?,Internet,dropdown
277668,7047418,hate,What do you dislike about G2 Marketing Solutions?,I have no complaints when it comes to using G2crowd.,comment
277668,7047419,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"It enables us to add validity into what we are doing, it works perfectly!",comment
277668,7047420,product_role,What is your primary role when using G2 Marketing Solutions?,User,dropdown
277668,7047421,business_partner,Are you affiliated with the product you are reviewing or the company that makes it?,No,dropdown
277668,7047422,employment_position,At which organization did you most recently use G2 Marketing Solutions?,,employment_position
277669,7047441,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,9.0,slider_nps
277669,7047442,title,Title for your review:,Providing Customer input - better sales engagement`,text_field
277669,7047443,love,What do you like best about G2 Marketing Solutions?,"G2 crowd has allowed us to let our customers speak directly to our customers. As a sales person, I don't want to constantly be bogging down my customers with asking them to give a reference for prospects who aren't far into the sales funnel. G2 crowd allows me to provide referrals to prospects, without having to annoy my customers, before my prospects are fully qualified. I also love the full transparency required by G2, as my customers can trust that the information they are getting is trustworthy.",comment
277669,7047444,categories,For which purposes do you use G2 Marketing Solutions?,['Buyer Intent Data Providers'],categories
277669,7047445,industry,What is your industry when using this product?,Internet,dropdown
277669,7047644,hate,What do you dislike about G2 Marketing Solutions?,"Sometimes it sucks when a customer leaves some negative information, but with that it allows us to understand what we need to work on in order to improve. ",comment
277669,7047645,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"Understanding where we need to improve on (whether that's user experience, customer service etc) for our customers and prospects to have a better experience with us. Also  allows me to give honest feedback and customer references to prospects",comment
277669,7047681,product_role,What is your primary role when using G2 Marketing Solutions?,User,dropdown
277669,7047682,business_partner,Are you affiliated with the product you are reviewing or the company that makes it?,No,dropdown
277669,7047683,employment_position,At which organization did you most recently use G2 Marketing Solutions?,Bizible,employment_position
280373,7111101,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,9.0,slider_nps
280373,7111102,title,Title for your review:,"Useful, relevant, validated user reviews",text_field
280373,7111103,love,What do you like best about G2 Marketing Solutions?,"The reviews, especially the fact they include 'what do you dislike' as well as 'what do you like'.  It gives a much more rounded picture.  The grids are useful, so too the ability to run grids based on user segment.  I also like the side-by-side comparisons.",comment
