title,rating,liked,disliked,text,predicted_categories
Empowering our reviews and,5,"Being in Customer Success, it is extremely important to know how your customers feel about your product and service and getting constant feedback is absolutely necessary. With Advocately, we get an all-in-one platform that gives us the data we need to help us engage better with our clients.",I really can't think of anything right now.,"Empowering our reviews and Being in Customer Success, it is extremely important to know how your customers feel about your product and service and getting constant feedback is absolutely necessary. With Advocately, we get an all-in-one platform that gives us the data we need to help us engage better with our clients. I really can't think of anything right now.",['Customer Satisfaction and Data Analysis Tools']
A great tie in with net promoters,5,Advocately helps us to automate the process of reaching out to get reviews from customers that love our product. Another feature I like is the ability to explore which users are our net promoters. This is much potential to continuously refine our market segments using this tool.,There isn't anything I dislike at the moment. The product solves one problem and solves it well. Having such focus is a breathe of fresh air from other products that try to do too many things but do them poorly.,A great tie in with net promoters Advocately helps us to automate the process of reaching out to get reviews from customers that love our product. Another feature I like is the ability to explore which users are our net promoters. This is much potential to continuously refine our market segments using this tool. There isn't anything I dislike at the moment. The product solves one problem and solves it well. Having such focus is a breathe of fresh air from other products that try to do too many things but do them poorly.,['- User Experience\n- Automation Capabilities']
Successful NPS Campaign!,5,"Advocately has provided us on the best insights to run our NPS campaign and to generate the reviews that are essential for customer advocacy in the SaaS solutions industry. 



They identified what works best for us in terms of getting a favorable response rate from the NPS surveys and we really have moved forward from there.","Advocately ihas been working with us with a Tailor Made Approach to our NPS Campaign, and this is not something which is readily available.","Successful NPS Campaign! Advocately has provided us on the best insights to run our NPS campaign and to generate the reviews that are essential for customer advocacy in the SaaS solutions industry. 



They identified what works best for us in terms of getting a favorable response rate from the NPS surveys and we really have moved forward from there. Advocately ihas been working with us with a Tailor Made Approach to our NPS Campaign, and this is not something which is readily available.","['Customer Satisfaction', 'Product Benefits']"
"Awesome product, easy to use, great service and an amazing idea!",5,"Advocate.ly is extremely easy to use. Patrick was very helpful in setting us up on the platform. The integration and set up was quick, templates were provided to get the best result. Everything is engineered for our success, i am very happy with the platform.",I've not yet found anything i dislike about advocate.ly.,"Awesome product, easy to use, great service and an amazing idea! Advocate.ly is extremely easy to use. Patrick was very helpful in setting us up on the platform. The integration and set up was quick, templates were provided to get the best result. Everything is engineered for our success, i am very happy with the platform. I've not yet found anything i dislike about advocate.ly.","['User Experience', 'Ease of Setup']"
Advocately has made creating an advocate marketing program a breeze.,5,"As a Community Manager I am responsible for crafting and executing our advocate program. Perhaps the most challenging aspect of creating an advocate program is finding the advocates. Advocately has eliminated challenge. The advocates, through Advocately, came to me! Not only do I now have a growing list of advocates, but I am able to see exactly what they love about our software. This enables me to push feedback to the marketing, development, and customer success teams so that we can enhance what people love.



Aside from the actual product, Patrick and Lachlan are amazing. Support, response times, and personality are all 10/10. You guys rock!","There is nothing to dislike. As Advocately is relatively new, the features will continue to grow with the feedback of users.","Advocately has made creating an advocate marketing program a breeze. As a Community Manager I am responsible for crafting and executing our advocate program. Perhaps the most challenging aspect of creating an advocate program is finding the advocates. Advocately has eliminated challenge. The advocates, through Advocately, came to me! Not only do I now have a growing list of advocates, but I am able to see exactly what they love about our software. This enables me to push feedback to the marketing, development, and customer success teams so that we can enhance what people love.



Aside from the actual product, Patrick and Lachlan are amazing. Support, response times, and personality are all 10/10. You guys rock! There is nothing to dislike. As Advocately is relatively new, the features will continue to grow with the feedback of users.",['Customer Satisfaction and Support Quality']
Advocately has driven amazing results for our business,5,"The support, and the experience the Advocately founders bring in having done exactly what Advocately promises for a SaaS business just like ours. The offering is spot on, and simply works.","Nothing at all. It's all good, an outstanding offering.","Advocately has driven amazing results for our business The support, and the experience the Advocately founders bring in having done exactly what Advocately promises for a SaaS business just like ours. The offering is spot on, and simply works. Nothing at all. It's all good, an outstanding offering.",['- Customer Satisfaction\n- Product Benefits']
Advocately has changed how we take reviews!,5,"I used to go through a lot of steps to get reviews. I was probably spending 5-6 hours a month to get reviews. There were so many manual steps and we would barely get any reviews out of it. It always felt worth it because our Brand and reputation is very important to us. Now, with Advocately, I just set up campaigns and they take care of the rest. We initially tested it out on 40 users and within that we produced 20 reviews!!!!! The same subset of users would probably would have produced 2 or 3 reviews within my old process. 



Also, the support has been amazing! Patrick has extremely helpful at setting us up and guiding us through the onboarding process. He has been very flexible in the hours he has helped and I've always very quickly got a response to questions.","It's a newer product, so I feel like initially there's a bit more hand holding to get onboarded on the product. Saying that, the support was amazing and Patrick helped me get fully up and running very quickly.","Advocately has changed how we take reviews! I used to go through a lot of steps to get reviews. I was probably spending 5-6 hours a month to get reviews. There were so many manual steps and we would barely get any reviews out of it. It always felt worth it because our Brand and reputation is very important to us. Now, with Advocately, I just set up campaigns and they take care of the rest. We initially tested it out on 40 users and within that we produced 20 reviews!!!!! The same subset of users would probably would have produced 2 or 3 reviews within my old process. 



Also, the support has been amazing! Patrick has extremely helpful at setting us up and guiding us through the onboarding process. He has been very flexible in the hours he has helped and I've always very quickly got a response to questions. It's a newer product, so I feel like initially there's a bit more hand holding to get onboarded on the product. Saying that, the support was amazing and Patrick helped me get fully up and running very quickly.",['- User Experience\n- Support Quality']
Love the product!,5,Advocately is very easy to use and we’ve received outstanding support from their team. It helped us understand our customer’s requirements better. We were able to see results in just a few months!,Haven't had a bad experience so far.  :),Love the product! Advocately is very easy to use and we’ve received outstanding support from their team. It helped us understand our customer’s requirements better. We were able to see results in just a few months! Haven't had a bad experience so far.  :),['- User Experience\n- Customer Satisfaction']
New to advocate marketing but am now a believer,5,"At Saleswhale, we are new to NPS and getting customer reviews on G2 Crowd. At first, I was concerned that it was going to be hard to get all these up and running manually, but Advocately has made getting setup a breeze for us.



And within the first day of getting setup on Advocately, we ran our first NPS survey, got dozens of responses, which Advocately then automatically reached out to - and we got our first 5 star review on that day itself.



Support from Patrick has been top-notch, and he was very patient and helpful in walking us through the entire process from start to finish.","I was about to say lack of Slack integration until Patrick showed me that they have built it in, and got us integrated. They move fast on the product and engineering side - and I look forward to seeing more features from the Advocately team.","New to advocate marketing but am now a believer At Saleswhale, we are new to NPS and getting customer reviews on G2 Crowd. At first, I was concerned that it was going to be hard to get all these up and running manually, but Advocately has made getting setup a breeze for us.



And within the first day of getting setup on Advocately, we ran our first NPS survey, got dozens of responses, which Advocately then automatically reached out to - and we got our first 5 star review on that day itself.



Support from Patrick has been top-notch, and he was very patient and helpful in walking us through the entire process from start to finish. I was about to say lack of Slack integration until Patrick showed me that they have built it in, and got us integrated. They move fast on the product and engineering side - and I look forward to seeing more features from the Advocately team.",['- Ease of Setup\n- Support Quality']
Valuable Resource for Sales,5,"Tells you what categories a company falls into, who they're competitors are, and what it's strengths/weaknesses are in the market place by way of customer reviews as well as their own analysis.",What they consider 'Midmarket' seems too small to me. Think this could be changed or made more granular.,"Valuable Resource for Sales Tells you what categories a company falls into, who they're competitors are, and what it's strengths/weaknesses are in the market place by way of customer reviews as well as their own analysis. What they consider 'Midmarket' seems too small to me. Think this could be changed or made more granular.","['Comparative Analysis', 'Missing Functionality']"
G2Crowd knows what's good,5,"G2Crowd is a great resource in understanding comparative reviews when it comes to understanding customer satisfaction, competitor analysis and the benefits to using certain solutions.",I can't say that I dislike anything in particular,"G2Crowd knows what's good G2Crowd is a great resource in understanding comparative reviews when it comes to understanding customer satisfaction, competitor analysis and the benefits to using certain solutions. I can't say that I dislike anything in particular",['- Customer Satisfaction\n- Comparative Analysis']
I love G2Crowd,5,"G2Crowd enables us to be able to show how well our product works, how customers view us and close more deals because of it.",I have no complaints when it comes to using G2crowd.,"I love G2Crowd G2Crowd enables us to be able to show how well our product works, how customers view us and close more deals because of it. I have no complaints when it comes to using G2crowd.",['User Experience and Customer Satisfaction']
Providing Customer input - better sales engagement`,4.5,"G2 crowd has allowed us to let our customers speak directly to our customers. As a sales person, I don't want to constantly be bogging down my customers with asking them to give a reference for prospects who aren't far into the sales funnel. G2 crowd allows me to provide referrals to prospects, without having to annoy my customers, before my prospects are fully qualified. I also love the full transparency required by G2, as my customers can trust that the information they are getting is trustworthy.","Sometimes it sucks when a customer leaves some negative information, but with that it allows us to understand what we need to work on in order to improve.","Providing Customer input - better sales engagement` G2 crowd has allowed us to let our customers speak directly to our customers. As a sales person, I don't want to constantly be bogging down my customers with asking them to give a reference for prospects who aren't far into the sales funnel. G2 crowd allows me to provide referrals to prospects, without having to annoy my customers, before my prospects are fully qualified. I also love the full transparency required by G2, as my customers can trust that the information they are getting is trustworthy. Sometimes it sucks when a customer leaves some negative information, but with that it allows us to understand what we need to work on in order to improve.",['- Customer Satisfaction\n- Product Benefits']
"Useful, relevant, validated user reviews",4.5,"The reviews, especially the fact they include 'what do you dislike' as well as 'what do you like'.  It gives a much more rounded picture.  The grids are useful, so too the ability to run grids based on user segment.  I also like the side-by-side comparisons.","I like the category grids but there are some where I question the validity of certain vendors to appear in them.  I have some questions around the market presence algorithm but can understand why it needs to remain secret.  Finally, I think some of the reports - especially around usability and ease of set-up - currently mitigate against larger vendors with more sophisticated solutions; these feel a little unfair.","Useful, relevant, validated user reviews The reviews, especially the fact they include 'what do you dislike' as well as 'what do you like'.  It gives a much more rounded picture.  The grids are useful, so too the ability to run grids based on user segment.  I also like the side-by-side comparisons. I like the category grids but there are some where I question the validity of certain vendors to appear in them.  I have some questions around the market presence algorithm but can understand why it needs to remain secret.  Finally, I think some of the reports - especially around usability and ease of set-up - currently mitigate against larger vendors with more sophisticated solutions; these feel a little unfair.",['User Experience and Comparative Analysis']
Awesome tool to collect your product reviews!,5,"Easy to setup, Best Support and good pricing!",Nothing as such. Started using this tool a month and feeling really good about the way it has brought in reviews.,"Awesome tool to collect your product reviews! Easy to setup, Best Support and good pricing! Nothing as such. Started using this tool a month and feeling really good about the way it has brought in reviews.",['User Experience and Support Quality']
G2Crowd is a MUST for your Customer Success Team,5,"G2Crowd's platform is a great way to drive advocacy from your customers. Asking clients to review your product is a sure way to know how they actually feel about you, and in return you're empowering sales with a easy way to reach our for references pre-sales.",I wish it was less of a burden for my customers to fill out a review.,"G2Crowd is a MUST for your Customer Success Team G2Crowd's platform is a great way to drive advocacy from your customers. Asking clients to review your product is a sure way to know how they actually feel about you, and in return you're empowering sales with a easy way to reach our for references pre-sales. I wish it was less of a burden for my customers to fill out a review.","['Customer Satisfaction', 'Product Benefits']"
Helpful and Thorough,5,"This is my second time working with G2 and I'm impressed by recent enhancements to the platform, particularly the buyer intent activity data and the intuitiveness of the backend. Our sales team is really excited to find accounts with potential need for our solution that they wouldn't necessarily have uncovered otherwise.



I also appreciate the G2 team, they are easy to work with, helpful, thorough, and dedicated to making sure we get the most out of our investment.",Nothing major at this time! I have been happy so far with our experience with G2.,"Helpful and Thorough This is my second time working with G2 and I'm impressed by recent enhancements to the platform, particularly the buyer intent activity data and the intuitiveness of the backend. Our sales team is really excited to find accounts with potential need for our solution that they wouldn't necessarily have uncovered otherwise.



I also appreciate the G2 team, they are easy to work with, helpful, thorough, and dedicated to making sure we get the most out of our investment. Nothing major at this time! I have been happy so far with our experience with G2.","['Customer Satisfaction', 'User Experience']"
A great investment to build trust and credibility,5,I like how easy it is to run reviews campaigns and leverage the tools in your listing to market you business. Have our listings on G2 Crowd has helped us tremendously in building trust and credibility with out prospects and close more business.,I really can't think of anything I dislike about G2 Crowd.,A great investment to build trust and credibility I like how easy it is to run reviews campaigns and leverage the tools in your listing to market you business. Have our listings on G2 Crowd has helped us tremendously in building trust and credibility with out prospects and close more business. I really can't think of anything I dislike about G2 Crowd.,"['Customer Satisfaction', 'Product Benefits']"
Extremely Responsive,4.5,Gina Carr goes the extra mile . She is a huge help and a pleasure to work with. There is a real commitment on her part to help her clients succeed,It takes a lot of work to get your product profile set up on the site. There is a lot of information to complete and it can be a bit confusing.,Extremely Responsive Gina Carr goes the extra mile . She is a huge help and a pleasure to work with. There is a real commitment on her part to help her clients succeed It takes a lot of work to get your product profile set up on the site. There is a lot of information to complete and it can be a bit confusing.,['- Support Quality\n- Ease of Setup']
Decent Experience,2.5,We've received decent service pretty consistently. The online platform is easy enough to work through. Leads are just okay.,The LinkedIn log in is pretty hard to work with.,Decent Experience We've received decent service pretty consistently. The online platform is easy enough to work through. Leads are just okay. The LinkedIn log in is pretty hard to work with.,['- User Experience\n- Integration Capabilities']
G2 Crowd drives high quality leads,4.5,"Overall, I am very happy with G2 Crowd. We are able to drive high quality leads to our sales team. Our reps are also great, fast to respond and always helpful.",The only drawback I currently have would be the low volume. I am working with the reps to find a solution to help us increase our volume.,"G2 Crowd drives high quality leads Overall, I am very happy with G2 Crowd. We are able to drive high quality leads to our sales team. Our reps are also great, fast to respond and always helpful. The only drawback I currently have would be the low volume. I am working with the reps to find a solution to help us increase our volume.","['Customer Satisfaction', 'Product Benefits']"
G2 Crowd is the best!,5,G2 Crowd's team is amazing to work with! They are always very responsive and are always proactively reaching out to make sure we get the best results of the programs we are running. You can't get a better CSM than Andrew Ledet!,The only thing I can think of for improvement is there is still a lot of reliability on AdRoll for activating retargeting programs.,G2 Crowd is the best! G2 Crowd's team is amazing to work with! They are always very responsive and are always proactively reaching out to make sure we get the best results of the programs we are running. You can't get a better CSM than Andrew Ledet! The only thing I can think of for improvement is there is still a lot of reliability on AdRoll for activating retargeting programs.,['- Customer Satisfaction\n- Support Quality']
G2Crowd leads the pack of review sites,4.5,G2Crowd has invested heavily in advertising their brand versus the other review sites.  As a result they have a much bigger quantity of reviews.  So it has traction now and people trust it to create a shortlist and to determine what others think.,G2Crowd rank not given enough prominence. Don't like paid for reviews (think this should be charity donation only) as encourages people to make up reviews.  I think there should be some way of seeing the balance of reviews from particular companies (at the moment you could have 100 reviews from a single customer which could skew review count).,G2Crowd leads the pack of review sites G2Crowd has invested heavily in advertising their brand versus the other review sites.  As a result they have a much bigger quantity of reviews.  So it has traction now and people trust it to create a shortlist and to determine what others think. G2Crowd rank not given enough prominence. Don't like paid for reviews (think this should be charity donation only) as encourages people to make up reviews.  I think there should be some way of seeing the balance of reviews from particular companies (at the moment you could have 100 reviews from a single customer which could skew review count).,"['Customer Satisfaction', 'Comparative Analysis']"
Best Tech Review Site on the Internet,4.5,"G2 Crowd provides a very impartial and fully verified technology software review forum. The technology sections are well defined and nicely summarized.  Overall, it's very professional and you can actually count on the review provided since they can't be manipulated by the vendors.   Really like the way that we can embed the review widgets on our own website with links to our optimized landing page.  The environment provides a great user experience for visitors to our website and illustrates how open we are to input from our customers. The style of review presentation is also very easy for visitors to consume. It's similar to consumer based review sites, but with much higher data quality.  We count on the fact that prospects reading our reviews can trust the customer input.","Difficult to say what I dislike, but if I had to choose I would say that sometimes the technology categories are too general. This can result sometimes in very different, non-competitive products in the same category.  This makes products hard to compare at times.","Best Tech Review Site on the Internet G2 Crowd provides a very impartial and fully verified technology software review forum. The technology sections are well defined and nicely summarized.  Overall, it's very professional and you can actually count on the review provided since they can't be manipulated by the vendors.   Really like the way that we can embed the review widgets on our own website with links to our optimized landing page.  The environment provides a great user experience for visitors to our website and illustrates how open we are to input from our customers. The style of review presentation is also very easy for visitors to consume. It's similar to consumer based review sites, but with much higher data quality.  We count on the fact that prospects reading our reviews can trust the customer input. Difficult to say what I dislike, but if I had to choose I would say that sometimes the technology categories are too general. This can result sometimes in very different, non-competitive products in the same category.  This makes products hard to compare at times.",['- User Experience\n- Comparative Analysis']
"If you aren't working with G2 Crowd, you should be!",5,"I really enjoy working with G2 Crowd for a few reasons, one of them being their customer support. The team at G2 Crowd has worked hand in hand with Certify to create custom content to better suit our needs and help position Certify stronger in the selling process. 



From a technology standpoint, I really value the competitive analysis aspect of G2 Crowd. The fact that a prospect can search and compare over 1,000 reviews on expense management in minutes and rank the top performing vendors is really invaluable. Having this Yelp-like review process for business software has allowed us to showcase our strengths against competitors and replace the traditional client referral process.","There really is not much if anything that I dislike about G2 Crowd. Naturally, as the company has grown, so has their pricing which can make budgeting and forecasting harder. I do also wish there were additional ways for Certify to generate more leads out of the system but I also understand this isn't their core solution offering.","If you aren't working with G2 Crowd, you should be! I really enjoy working with G2 Crowd for a few reasons, one of them being their customer support. The team at G2 Crowd has worked hand in hand with Certify to create custom content to better suit our needs and help position Certify stronger in the selling process. 



From a technology standpoint, I really value the competitive analysis aspect of G2 Crowd. The fact that a prospect can search and compare over 1,000 reviews on expense management in minutes and rank the top performing vendors is really invaluable. Having this Yelp-like review process for business software has allowed us to showcase our strengths against competitors and replace the traditional client referral process. There really is not much if anything that I dislike about G2 Crowd. Naturally, as the company has grown, so has their pricing which can make budgeting and forecasting harder. I do also wish there were additional ways for Certify to generate more leads out of the system but I also understand this isn't their core solution offering.",['Customer Satisfaction and Comparative Analysis']
Best software review site - and a lead source too!,5,"I originally signed up with G2 Crowd to generate awareness of our solution as they had the most product/ competitor reviews for our industry (PR tools and media targeting) and had a robust process to help you generate reviews for products. But I was blown away, when on top of awareness and SEO magic, G2 Crowd has also become a key source of sales leads for us.",Setting up the product profiles is a bit cumbersome and I wish we could have a corporate page with individual products listed so people could see our entire portfolio.,"Best software review site - and a lead source too! I originally signed up with G2 Crowd to generate awareness of our solution as they had the most product/ competitor reviews for our industry (PR tools and media targeting) and had a robust process to help you generate reviews for products. But I was blown away, when on top of awareness and SEO magic, G2 Crowd has also become a key source of sales leads for us. Setting up the product profiles is a bit cumbersome and I wish we could have a corporate page with individual products listed so people could see our entire portfolio.",['Product Benefits\nEase of Setup']
G2Crowd is a very solid platform. Its on-boarding process and user experience are pleasingly fluid.,4.5,"The configuration and on-boarding process for a vendor is very straightforward, intuitive and yet comprehensive. I also like the experience provided by G2Crowd to users researching products. It is fluid and informational.","Nothing.  G2Crowd is a great company, they just need to extend their SEO penetration (at least in my category) to better generate organic leads.","G2Crowd is a very solid platform. Its on-boarding process and user experience are pleasingly fluid. The configuration and on-boarding process for a vendor is very straightforward, intuitive and yet comprehensive. I also like the experience provided by G2Crowd to users researching products. It is fluid and informational. Nothing.  G2Crowd is a great company, they just need to extend their SEO penetration (at least in my category) to better generate organic leads.","['User Experience', 'Ease of Setup']"
G2 Crowd Has Great New Functionalities,4.5,"I like the clean look and feel of the website. They also have instant chat which is nice if you have a question that you need answered really quickly. The CSM I have is knowledgeable, responsive and helpful.","I wish the average/total score would be updated more frequently. It looks like I have gotten a lot of 4.5 and mostly 5 star ratings, but it hasn't moved in like 9 months or so. It used to move more frequently at the beginning when we first drove traffic to the site, when I first started.","G2 Crowd Has Great New Functionalities I like the clean look and feel of the website. They also have instant chat which is nice if you have a question that you need answered really quickly. The CSM I have is knowledgeable, responsive and helpful. I wish the average/total score would be updated more frequently. It looks like I have gotten a lot of 4.5 and mostly 5 star ratings, but it hasn't moved in like 9 months or so. It used to move more frequently at the beginning when we first drove traffic to the site, when I first started.",['1. User Experience\n2. Support Quality']
Great product & customer service,5,"I've appreciated the opportunity to get honest reviews from our customers. It's opened up the opportunity to hear their feedback and also showcase our value to prospects. 



Additionally, I've loved the customer support I've gotten from Mark! He's always been incredibly helpful, friendly, honors his commitments, and holds me accountable for getting our campaign done!","Honestly, I haven't really found anything.","Great product & customer service I've appreciated the opportunity to get honest reviews from our customers. It's opened up the opportunity to hear their feedback and also showcase our value to prospects. 



Additionally, I've loved the customer support I've gotten from Mark! He's always been incredibly helpful, friendly, honors his commitments, and holds me accountable for getting our campaign done! Honestly, I haven't really found anything.",['Customer Satisfaction and Support Quality']
Helps us drive revenue,5,We are in a competitive marketplace and we rely on G2 Crowd to help us stand out from our competitors.,"We don't see a lot of people actually request a demo from our G2 profile page, but that is not unexpected.","Helps us drive revenue We are in a competitive marketplace and we rely on G2 Crowd to help us stand out from our competitors. We don't see a lot of people actually request a demo from our G2 profile page, but that is not unexpected.","['Product Benefits', 'Comparative Analysis']"
A good platform that will only get better,3.5,I think the Customer Success Management team is really accessible and helpful when I have questions.,"The system could be a bit more intuitive and cleaner for end users coming to look at reviews. You guys should get rid of that grid. It is confusing as heck. I am not a proponent of copy catting all the time, but on this one you could just take a que from Yelp or Tripadvisor in terms of how to present the best company in each category.  A list view is much better and simpler.  Also, I think you guys should better figure out the right companies that should be in a respective category. For us, there are people in our category whose primary product is not in our category yet they are able to rank higher than us in our category because they got more reviews in there primary category. It's a bit misleading I think for the end users relying on your site for reviews.","A good platform that will only get better I think the Customer Success Management team is really accessible and helpful when I have questions. The system could be a bit more intuitive and cleaner for end users coming to look at reviews. You guys should get rid of that grid. It is confusing as heck. I am not a proponent of copy catting all the time, but on this one you could just take a que from Yelp or Tripadvisor in terms of how to present the best company in each category.  A list view is much better and simpler.  Also, I think you guys should better figure out the right companies that should be in a respective category. For us, there are people in our category whose primary product is not in our category yet they are able to rank higher than us in our category because they got more reviews in there primary category. It's a bit misleading I think for the end users relying on your site for reviews.",['- User Experience\n- Comparative Analysis']
G2crowd is a must have for finding the voice of your customers,4,I've used G2crowd now for over 3 years at different companies and we continue to utilize them as a trusted vendor because of the ability to gather feedback from clients quickly and easily. By running review campaigns we can uncover what areas of focus we need for our product and how to identify new advocates for our programs. The grid reports also help us stay relevant to our competitors and the marketplace.,I wish there was more customization with the review questions and a way to provide ongoing feedback from customers that have posted reviews previously. Other review sites allow this and it would be great to have this feature added.,G2crowd is a must have for finding the voice of your customers I've used G2crowd now for over 3 years at different companies and we continue to utilize them as a trusted vendor because of the ability to gather feedback from clients quickly and easily. By running review campaigns we can uncover what areas of focus we need for our product and how to identify new advocates for our programs. The grid reports also help us stay relevant to our competitors and the marketplace. I wish there was more customization with the review questions and a way to provide ongoing feedback from customers that have posted reviews previously. Other review sites allow this and it would be great to have this feature added.,['Customer Satisfaction and Comparative Analysis']
